Ball Pos: 650.000000 450.000000 || Enemy pos: 650.000000 450.000000 || Robot dist: 325.000000 || Angle error: 0.000000
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 290.050507 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 285.050171 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 280.049774 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 275.049225 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 270.048584 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 265.047760 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 260.046753 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 255.045441 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 250.043839 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 245.041809 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 240.039291 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 235.036163 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 230.032242 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 225.027374 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 220.021317 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 215.013779 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 210.004425 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 204.992844 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 199.978485 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 194.960739 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 189.938797 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 184.911774 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 179.878525 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 174.837662 || Angle error: -0.018661
